"num","season","num_teams","reg_season_games","total_games"
9,19251926,7,36,126
10,19261927,10,44,220
11,19271928,10,44,220
12,19281929,10,44,220
13,19291930,10,44,220
14,19301931,10,44,220
15,19311932,8,48,192
16,19321933,9,48,216
17,19331934,9,48,216
18,19341935,9,48,216
19,19351936,8,48,192
20,19361937,8,48,192
21,19371938,8,48,192
22,19381939,7,48,168
23,19391940,7,48,168
24,19401941,7,48,168
25,"1941–1942",7,48,168
26,19421943,6,50,150
27,19431944,6,50,150
28,19441945,6,50,150
29,19451946,6,50,150
30,19461947,6,60,180
31,19471948,6,60,180
32,19481949,6,60,180
33,19491950,6,70,210
34,19501951,6,70,210
35,19511952,6,70,210
36,19521953,6,70,210
37,19531954,6,70,210
38,19541955,6,70,210
39,19551956,6,70,210
40,19561957,6,70,210
41,19571958,6,70,210
42,19581959,6,70,210
43,19591960,6,70,210
44,19601961,6,70,210
45,19611962,6,70,210
46,19621963,6,70,210
47,19631964,6,70,210
48,19641965,6,70,210
49,19651966,6,70,210
50,19661967,6,70,210
51,19671968,12,74,444
52,19681969,12,76,456
53,19691970,12,76,456
54,19701971,14,78,546
55,19711972,14,78,546
56,19721973,16,78,624
57,19731974,16,78,624
58,19741975,18,80,720
59,19751976,18,80,720
60,19761977,18,80,720
61,19771978,18,80,720
62,19781979,17,80,680
63,19791980,21,80,840
64,19801981,21,80,840
65,19811982,21,80,840
66,19821983,21,80,840
67,19831984,21,80,840
68,19841985,21,80,840
69,19851986,21,80,840
70,19861987,21,80,840
71,19871988,21,80,840
72,19881989,21,80,840
73,19891990,21,80,840
74,19901991,21,80,840
75,19911992,22,80,880
76,19921993,24,84,1008
77,19931994,26,84,1092
78,19941995,26,48,624
79,19951996,26,82,1066
80,19961997,26,82,1066
81,19971998,26,82,1066
82,19981999,27,82,1107
83,19992000,28,82,1148
84,20002001,30,82,1230
85,20012002,30,82,1230
86,20022003,30,82,1230
87,20032004,30,82,1230
88,20042005,30,0,0
89,20052006,30,82,1230
90,20062007,30,82,1230
91,20072008,30,82,1230
92,20082009,30,82,1230
93,20092010,30,82,1230
94,20102011,30,82,1230
95,20112012,30,82,1230
96,20122013,30,48,720
97,20132014,30,82,1230
98,20142015,30,82,1230
99,20152016,30,82,1230
100,20162017,30,82,1230
101,20172018,31,82,1271
102,20182019,31,82,1271
